,Camera,filename,x1,y1,x2,y2,Length_px,conversion,Length_cm,HT_px,HT_cm,split,keypoint_px,keypoint_cm,CNNht_px,CNNht_cm
0,W2B,W2B_WSCT0018.JPG,270.4578947,147.5649123,270.4578947,373.3988304,,,,,,,,,,
1,W2B,W2B_WSCT0019.JPG,273.1105263,149.1368421,271.3421053,371.8269006,,,,,,,,,,
2,W2B,W2B_WSCT0020.JPG,271.3421053,145.9929825,270.7526316,372.8748538,,,,,,,,,,
3,W2B,W2B_WSCT0021.JPG,271.6368421,143.897076,272.2263158,371.8269006,,,,,,,,,,
4,W2B,W2B_WSCT0022.JPG,271.6368421,143.897076,271.9315789,371.8269006,,,,,,,,,,
5,W2B,W2B_WSCT0023.JPG,272.5210526,144.9450292,271.9315789,377.5906433,,,,,,,,,,
6,W2B,W2B_WSCT0024.JPG,272.2263158,145.9929825,272.8157895,374.4467836,,,,,,,,,,
7,W2B,W2B_WSCT0025.JPG,272.2263158,145.9929825,271.6368421,371.8269006,,,,,,,,,,
8,W2B,W2B_WSCT0026.JPG,272.2263158,144.9450292,272.5210526,372.3508772,,,,,,,,,,
9,W2B,W2B_WSCT0027.JPG,273.1105263,145.9929825,271.9315789,372.3508772,,,,,,,,,,
10,W2B,W2B_WSCT0028.JPG,272.8157895,146.5169591,273.1105263,373.922807,,,,,,,,,,
11,W2B,W2B_WSCT0029.JPG,272.8157895,146.5169591,272.8157895,371.8269006,,,,,,,,,,
12,W2B,W2B_WSCT0030.JPG,272.8157895,146.5169591,272.8157895,372.3508772,,,,,,,,,,
13,W2B,W2B_WSCT0031.JPG,272.8157895,145.9929825,272.5210526,370.7789474,,,,,,,,,,
14,W2B,W2B_WSCT0032.JPG,272.8157895,147.0409357,273.4052632,372.8748538,,,,,,,,,,
15,W2B,W2B_WSCT0033.JPG,273.1105263,147.5649123,272.5210526,373.3988304,,,,,,,,,,
16,W2B,W2B_WSCT0034.JPG,273.1105263,147.0409357,272.5210526,371.8269006,,,,,,,,,,
17,W2B,W2B_WSCT0035.JPG,273.1105263,146.5169591,273.4052632,372.8748538,,,,,,,,,,
18,W2B,W2B_WSCT0036.JPG,272.5210526,145.4690058,272.5210526,372.8748538,,,,,,,,,,
19,W2B,W2B_WSCT0037.JPG,272.8157895,145.9929825,272.5210526,372.3508772,,,,,,,,,,
20,W2B,W2B_WSCT0038.JPG,273.4052632,146.5169591,273.7,378.6385965,,,,,,,,,,
21,W2B,W2B_WSCT0039.JPG,272.8157895,145.4690058,272.8157895,371.302924,,,,,,,,,,
22,W2B,W2B_WSCT0040.JPG,273.7,158.5684211,272.2263158,383.8783626,,,,,,,,,,
23,W2B,W2B_WSCT0041.JPG,273.1105263,157.5204678,273.1105263,381.2584795,,,,,,,,,,
24,W2B,W2B_WSCT0042.JPG,272.8157895,159.0923977,272.8157895,382.8304094,,,,,,,,,,
25,W2B,W2B_WSCT0043.JPG,273.1105263,158.5684211,272.8157895,381.7824561,,,,,,,,,,
26,W2B,W2B_WSCT0044.JPG,273.1105263,156.9964912,273.7,383.354386,,,,,,,,,,
27,W2B,W2B_WSCT0045.JPG,272.5210526,156.4725146,272.5210526,383.8783626,,,,,,,,,,
28,W2B,W2B_WSCT0046.JPG,273.4052632,155.4245614,273.4052632,380.7345029,,,,,,,,,,
29,W2B,W2B_WSCT0047.JPG,273.1105263,155.4245614,272.8157895,377.5906433,,,,,,,,,,
30,W2B,W2B_WSCT0048.JPG,272.8157895,156.9964912,273.1105263,381.7824561,,,,,,,,,,
31,W2B,W2B_WSCT0049.JPG,273.4052632,156.4725146,272.2263158,382.3064327,,,,,,,,,,
32,W2B,W2B_WSCT0050.JPG,272.2263158,156.4725146,272.8157895,382.3064327,,,,,,,,,,
33,W2B,W2B_WSCT0051.JPG,273.7,156.4725146,273.7,383.354386,,,,,,,,,,
34,W2B,W2B_WSCT0052.JPG,273.4052632,155.948538,272.8157895,386.4982456,,,,,,,,,,
35,W2B,W2B_WSCT0053.JPG,274.2894737,155.948538,272.5210526,384.4023392,,,,,,,,,,
36,W2B,W2B_WSCT0054.JPG,274.8789474,150.1847953,273.4052632,378.1146199,,,,,,,,,,
37,W2B,W2B_WSCT0055.JPG,273.7,151.2327485,272.8157895,375.4947368,,,,,,,,,,
38,W2B,W2B_WSCT0056.JPG,274.5842105,151.7567251,272.2263158,376.0187135,,,,,,,,,,
39,W2B,W2B_WSCT0057.JPG,274.2894737,152.8046784,272.8157895,373.3988304,,,,,,,,,,
40,W2B,W2B_WSCT0058.JPG,274.5842105,151.2327485,273.1105263,379.1625731,,,,,,,,,,
41,W2B,W2B_WSCT0059.JPG,273.9947368,149.6608187,273.9947368,376.5426901,,,,,,,,,,
42,W2B,W2B_WSCT0060.JPG,273.7,151.7567251,273.4052632,380.7345029,,,,,,,,,,
43,W2B,W2B_WSCT0061.JPG,273.9947368,153.328655,273.9947368,378.6385965,,,,,,,,,,
44,W2B,W2B_WSCT0062.JPG,275.1736842,152.8046784,274.2894737,377.5906433,,,,,,,,,,
45,W2B,W2B_WSCT0063.JPG,274.2894737,153.328655,274.2894737,381.7824561,,,,,,,,,,
46,W2B,W2B_WSCT0064.JPG,274.2894737,153.8526316,273.9947368,379.6865497,,,,,,,,,,
47,W2B,W2B_WSCT0065.JPG,274.2894737,152.8046784,273.4052632,383.8783626,,,,,,,,,,
48,W2B,W2B_WSCT0066.JPG,273.9947368,152.2807018,274.5842105,383.354386,,,,,,,,,,
49,W2B,W2B_WSCT0067.JPG,273.9947368,153.328655,273.7,385.4502924,,,,,,,,,,
50,W2B,W2B_WSCT0070.JPG,274.2894737,153.328655,273.9947368,389.1181287,,,,,,,,,,
